name,smol,best_recs,upcom
Lane Wells Jewelry Repair,1,"['M.I.Trading', 'Identity Diamonds', ""Kruger's Diamond Jewelers"", 'Stone Blessings Handmade Jewelry']","['M.I.Trading', 'Identity Diamonds', 'Stone Blessings Handmade Jewelry', 'Five Star Jewelry Brokers & Gemologists']"
DoubleTree by Hilton Hotel Austin,0,"['Residence Inn Austin South', 'Heart of Texas Motel', 'Fairfield Inn & Suites by Marriott Austin-University Area', 'Homewood Suites by Hilton Austin Downtown']","['Tru by Hilton Austin Airport', 'Hampton Inn Austin/Oak Hill', 'ARRIVE Austin', 'Residence Inn Austin North/Parmer Lane', 'Homewood Suites by Hilton Austin-Arboretum/NW']"
McKinley Chiropractic,1,"['Mauldin Heinrich Chiropractic Clinic', 'Kjar Chiropractic Clinic', 'City Limits Chiropractic', 'Lawson Chiropractic']","['Dow Chiropractic', 'Vacula Chiropractic', 'Kjar Chiropractic Clinic', 'Kramer Lane Chiropractic Clinic', 'Bee Caves Chiropractic & Scoliosis Center']"
Austin Regional Clinic: ARC Quarry Lake,0,"['Austin Diagnostic Clinic - Steiner Ranch', 'Prochnow Ross, MD', 'Getman William, MD', 'Thrive Medical Clinic']","['Prochnow Ross, MD', 'Getman William, MD', 'Thrive Medical Clinic', 'Fagerberg Marcia, MD', 'Miller Hillary, MD']"
Eurasia Sushi Bar & Seafood,0,"['Sakura Sushi & Bar', 'Aba', 'BarChi Sushi', 'Half Step']","['Rules & Regs', 'Mumtaz Market by G’Raj Mahal', 'Mi Bambuco Colombian Restaurant', 'Lustre Pearl East', 'Otoko']"
Austin Community College - Rio Grande Campus,0,"['Wizard Academy', 'Austin Community College - Riverside Campus', 'Hack Reactor Austin', 'University of Texas Tower']","['Wizard Academy', 'Hack Reactor Austin', 'Austin Acupuncture Clinic', 'Live The Language - Live In French', 'University of Texas Tower']"
Texas Global Passport Services,0,"['United States Postal Service', 'Perry-Castaneda Library', 'The University of Texas at Austin', 'University of Texas At Austin']","['University of Texas At Austin', 'Concordia University Texas', 'Worldwide Golf Adventures', 'Austin Community College - Eastview Campus', 'RSVPpassports']"
Wendy's,0,"[""Wendy's"", ""Wendy's"", 'Whataburger', 'Short Stop']","['The G Spot Wangs N Thangs', 'Burgerlicious', 'Los Chilakillers', 'Chick-fil-A', 'Island Thyme Grill']"
San Saba Spa,1,"['Garbo A Salon and Spa', 'Orange Blossom Skin Care', 'Boss Nails', 'HALINA Spa + Medical Rejuvenation']","['Orange Blossom Skin Care', 'HALINA Spa + Medical Rejuvenation', ""Cleopatra's Salon"", 'The Spa']"
Bernard Watch Co.,1,"['Ngoc Tran Jewelery', 'Copeland Jewelers', 'Hilderbrand Jewelers', 'Medical Express Psi']","['Hilderbrand Jewelers', 'Copeland Jewelers', 'Santa Fe Optical', 'E Z Frame Fixer']"
Catherine's Pet Sitting,1,"['Hound for Hound', ""JenniFurrr's Pet Sitting and Dog Walking"", 'Heavy Petters', 'Doug the Dog Walker']","['Hound for Hound', 'My Love Fur Paws Pet Care', 'Heavy Petters', ""JenniFurrr's Pet Sitting and Dog Walking""]"
Gabrielle's Salon and Extensions Boutique,1,"[""Asberry A'Salon"", 'San Saba Spa', 'Garbo A Salon and Spa', 'Birds Barbershop']","[""Asberry A'Salon"", 'San Saba Spa', 'Zig Zag Salon', ""Cleopatra's Salon""]"
Sunny Girl Spray Tan ATX,1,"['Tan Etc', 'Tan Etc', 'Austin Organic Tan', '360 Tans']","['Tan Etc', 'Austin Organic Tan', 'Tan Etc', 'Silk Hair Salon']"
Vox Veniae,1,"['Greater Mt. Zion Church', 'First Unitarian Universalist Church of Austin', 'Westminster Presbyterian', 'First United Methodist Church of Austin']","['Mosaic Church Austin', 'GTAustin', 'First United Methodist Church of Austin', 'Austin Ridge Bible Church', 'Christian Life Austin']"
Limestone Canyon Apartments,0,"['The Ballpark North', 'IMT Southpark', '3500 Westlake Apartments', 'Stonecreek Ranch Apartments']","['Water Marq', '422 at the Lake', 'Congress Square Apartments', 'AMLI Covered Bridge', 'Marquis at Treetops']"
Johnny Carino's,0,"['Olive Garden Italian Restaurant', 'The Grove Wine Bar & Kitchen', ""Nik's Italian Kitchen + Bar"", ""Roppolo's Pizzeria on Wheels""]","['Shortie’s Pizza & Grinders', ""Moody's Kitchen And Bar"", 'La Volpe', 'Pizza On Point', 'Ellis']"
Chillax Massage,1,"['Body Harmony Massage', 'Tranquility Massage Company', 'Mystic Massage', 'Vita Massage Therapy']","['Thai Massage By Paula', 'Austin Lymphatic', 'WellSpace Bodywork', 'Revive Massage Therapy', 'Brenda K Harte, RN LMT']"
April Realty Services,0,"['Agave Properties', 'Barkley Houses', 'ERA Bettinger Realtors', 'Twelve Rivers Realty & Management']","['Mike Minns - Atlas Realty', 'Owning Texas', 'The Taylor Company', 'Asterra Properties', 'Apartment Specialist']"
Austin General Dentistry,1,"['Midtown Dental Associates', 'Carus Dental Brodie Lane', 'Oak Hill Family Dental Center', 'Mason & McElveen Family Dentistry']","['Carus Dental Brodie Lane', 'Oak Hill Family Dental Center', 'Mason & McElveen Family Dentistry', 'Oak Hill Dental']"
McDonald's,0,"[""McDonald's"", ""McDonald's"", ""McDonald's"", ""McDonald's""]","['Sonic Drive-In', 'Burger Bar Campus', ""P. Terry's Burger Stand"", 'Starbucks', 'Fara Coffee']"
Chispas,0,"[""Torchy's Tacos"", 'Camino Real Restaurant', 'Maudie’s Hacienda', ""Tex-Mex Joe's""]","['Cafe Hornitos', 'El Secreto De Abuela', 'Tacodeli', 'Yucatan Tacos And More', 'Taqueria Piedra Grande']"
Newk's Eatery,0,"['California Pizza Kitchen at Barton Creek Square', 'Kitchen on the Bend', ""Domino's Pizza"", ""Domino's Pizza""]","[""Papa Murphy's"", 'Little Deli & Pizzeria', 'Cicis', 'Sixth and Waller', 'Potbelly Sandwich Shop']"
"James Hicks, MD",0,"['Austin Pulmonary Consultants', 'Seton Medical Tower', 'Hans Bengston MD', 'Fain Jerry D MD']","['Fain Jerry D MD', 'Austin Endoscopy Center', 'Wells Branch Medical Center', 'Douglas P Mumfrey, MD', 'Bushart Paul, MD']"
Zaika Indian Contemporary Cuisine,0,"['Saffron', 'Biryani Pot', 'Himalaya Kosheli', 'Bombay Walla']","['Saffron', 'Everest Cuisine', 'Renuka’s Kitchen', ""Willie's Bar-B-Que"", 'Taqueria Los Altos']"
E Resumes Austin,1,"['Résumé Goat', 'Ultimate Resumes LLC', 'Bg Staffing', 'Deep Eddy Psychotherapy']","['Ultimate Resumes LLC', 'Résumé Goat', 'Access to Culture', 'Deep Eddy Psychotherapy']"
Taqueria Peloncitos,1,"['Pollos Asados El norteño #2', 'Taqueria Rio Verde', ""Tita's"", 'Taqueria Los Chilangos']","['Grace Tamale House', 'Pollos Asados El norteño #2', ""Tita's"", 'Lolita La Tampiqueña']"
Golden Nails & Facial,1,"['Sweet Nails and Spa', 'Salons by JC', 'Onion Creek Nails and Spa', 'Happy Nails And Spa']","['Salons by JC', 'Artist Nail Salon & Day Spa', 'Paradise Nails', 'Premier Nails Spa']"
Oat Willie's,1,"[""Levi's Outlet Store"", 'Creatures Boutique', 'Good Company', 'Beehive']","[""Levi's Outlet Store"", 'Creatures Boutique', 'Good Company', 'Smoking Depot']"
Salon Austin,0,"['Great Clips', 'Scissors Sound Hair Salon', 'Crestview Barber Shop', ""Cal's Nail & Hair Salon""]","['Amaz For Hair', 'Scissors Sound Hair Salon', 'Crestview Barber Shop', 'Beauty Store', 'Expo Salon']"
Panda Express,0,"[""Wendy's"", ""Wendy's"", 'Subway', 'Sonic Drive-In']","['Mighty Fine Burgers Fries & Shakes', 'Compass Coffee', 'Epic Poke', 'Subway', 'Fitzhugh Brewing']"
Greater Goods Coffee Roasters,1,"['Summer Moon Coffee', 'Summer Moon Coffee Trailer', ""Barrett's Coffee"", 'Epoch Coffee']","[""Barrett's Coffee"", 'Summer Moon Coffee Trailer', 'Opera Cafe & Coffeehouse', 'Moonlight Hookah Cafe']"
NTB-National Tire & Battery,0,"[""McSpadden's Tire & Automotive"", 'Meineke Car Care Center', 'Pep Boys', 'Advanced Automotive and Tire']","['Pep Boys', 'Family Tires', 'Advanced Automotive and Tire', 'All Tune And Lube Total Car Care', 'Badger Motorsports']"
FedEx Ground Terminal,0,"['Newgistics', 'PostNet', 'FedEx Office Print & Ship Center', 'Pak Mail']","['Public Storage', 'Big Time Trash Hauling', 'The Bug Master', 'Bluebonnet Cut & Sew Co', 'Public Storage']"
Synergy Chiropractic & Bodywork,1,"['Hausman Chiropractic', 'Atlas Holistic Wellness & Chiropractic Center', 'Four Points Family Chiropractic', 'Total Health Chiropractic']","['Hausman Chiropractic', 'Atlas Holistic Wellness & Chiropractic Center', 'Four Points Family Chiropractic', 'American Chiropractic Clinic-Austin']"
Go Wash II,0,"['Palms Car Wash', 'Mister Car Wash', '1St Car Wash', 'Barton Springs Car Wash']","['Complete Auto Detail & Car Wash', 'Top of the Line Detailing', 'Family Carwash', 'Premier Wash and Detail', 'Taurus Auto Detailing']"
Life Coach Austin,1,"['Just Mind Counseling', 'The Raeda Group', 'Deep Eddy Psychotherapy', 'Laura Jack Coaching']","['Just Mind Counseling', 'The Raeda Group', 'Deep Eddy Psychotherapy', 'Laura Jack Coaching']"
THRIVE Affordable Vet Care,0,"['Crossing Animal Clinic', 'South Branch Pet & Bird Clinic', 'Veterinary Eye Center', 'Allandale Veterinary Clinic']","['Veterinary Surgical Solutions', 'PAZ Veterinary North', 'Hyde Park Animal Clinic', 'Crossing Animal Clinic', 'Veterinary Eye Center']"
Universal Motors,1,"['Capital City Automotive', 'Ruiz Automotive', 'Amberger Automotive', 'Rivera Welding & Muffler 4']","['Silent Automotive', 'Dura Tune', 'Luu Auto Repair', 'Motormania Vw Specialist', ""Lempar's Garage""]"
Halal Bros,0,"['The Kebab Shop', 'USTA KABABGY', 'The Halal Corner', 'Kismet Cafe']","['USTA KABABGY', ""Sarah's On The Road"", 'Delicious Food & Sweet', '1st Choice Mediterranean & Moroccan Food', ""Noori's Grill""]"
Uptown Modern,1,"['Mi Casa', 'Wildflower Organics', 'Roadhouse Relics', 'west elm']","['Roadhouse Relics', 'Urban Mattress South Austin', 'Four Hands Home', 'Mattress Firm Sunset Brodie']"
Carabao Express,1,"[""Jim's Restaurants"", 'Bao’d Up - Mueller Aldrich', ""Cisco's Restaurant Bakery & Bar"", 'Les Bobos Crepes']","['Les Bobos Crepes', 'Shipley Donuts', 'Woko Loco', 'Pinch']"
Crizen Hasegawa Hair & Makeup,1,"['Mise En Place Salon', 'ATX Bridal Beauty', 'Deborah Lira Hair Stylist', 'Salon B']","['ATX Bridal Beauty', 'Mise En Place Salon', 'Deborah Lira Hair Stylist', 'freakflag by iana']"
WM Pro Movers,1,"['Quality Moving & Storage', 'The Better Movers', 'College Hunks Hauling Junk & Moving', 'Econo Self Storage']","['Quality Moving & Storage', 'Above All Moving', 'Stor Self Storage', 'Real Men Moving']"
Chico's,0,"['Kendra Scott Flagship', 'bevello', 'Wear Art Thou', 'Wildflowers Boutique']","['Wear Art Thou', 'Dylan Wylde', 'The Garden Room', ""Francesca's Collections"", 'Blue Elephant Boutique']"
Mesa Cleaners,0,"['Westbank Dry Cleaning - Casis Village', 'Westbank Dry Cleaning - Davenport Village', ""Rick's Cleaners"", ""Rick's Cleaners""]","['Quik Wash Laundry', 'Wash Day Laundry-OH', 'EZ Coin Laundry', 'GC Cleaners and Laundry', ""Ian's Dry Cleaning & Laundry Delivery""]"
Tanglewood Vision Center,1,"['512 Eye', 'Eyemart Express', 'Capital Eye', 'Reed Optometry']","['Vision Source Austin', 'Capital Eye', 'Reed Optometry', '512 Eye']"
The Ballpark North,0,"['Limestone Canyon Apartments', 'IMT Southpark', '3500 Westlake Apartments', 'Stonecreek Ranch Apartments']","['Water Marq', '422 at the Lake', 'Congress Square Apartments', 'AMLI Covered Bridge', 'Marquis at Treetops']"
Harbor Freight,0,"['AutoZone', 'Advance Auto Parts', 'AutoZone', ""O'Reilly Auto Parts""]","['AutoZone Auto Parts', 'Advance Auto Parts', 'A-Line Auto Parts', 'Austin Performance & Specialty Equipment', ""O'Reilly Auto Parts""]"
Abee's Hi-Tech Automotive Service,1,"['Pep Boys', 'Tech One Automotive', ""Dave's Ultimate Automotive"", 'Lube Pit Stop']","[""Lamb's Tire & Automotive"", 'Meineke Car Care Center', 'ME Gene Johnson Station & Garage', 'Deluxe Auto Service']"
Cornerstone Concrete Stain,1,"['The Stain Store', ""Archie's Concrete Design"", 'Boatright Hardwood Floors', 'Andys Concrete Floors']","[""Archie's Concrete Design"", 'Andys Concrete Floors', 'Kreuzer Tile', 'Jon Nuckels Custom Tile Installation']"
Cilantro's,0,"['Taquero Mucho', 'La Montana Tacos 2', 'Taco Shack', ""Curra's Grill""]","['Taqueria Guadalajara', 'Taqueria Los Altos', 'Los Pepes', 'Autenticos Michoacanos', 'La Placita']"
Victory Medical Center Pharmacy,0,"['MedSavers Pharmacy', 'HEB Pharmacy', 'HEB Pharmacy', 'Rite-Away Pharmacy']","['MedSavers Pharmacy', 'Rite-Away Pharmacy', 'Arboretum Eye Professionals', 'Austin Eye Studio', 'Resolution Eyecare']"
La Nails,1,"['Galleria Nails', 'Onion Creek Nails and Spa', 'Happy Nails And Spa', 'Arboretum Nails and Spa']","['Galleria Nails', 'BK Nails and Spa', 'Michele Nails', 'Living Colors Nails']"
Pelons Tex-Mex,0,"[""Vaquero's Cafe and Cantina"", ""Z'Tejas - Austin 6 STREET"", ""Trudy's North Star"", 'Chispas']","['Soco Bar & Bites', 'Taco Flats', 'Cafe Hornitos', 'El Secreto De Abuela', 'Techo Mezcaleria & Agave Bar']"
Studio N9 Quality Nails & Spa,1,"['Pamper Nails', 'Super Nails', 'Ombre Nails Spa', 'Super Star Nails & Spa']","['Super Nails', 'Emerald Nails', 'Lash Lab 512', ""Lash'd Out""]"
Microtel Inn and Suites by Wyndham Austin Airport,0,"['Motel 6', 'Extended Stay America - Austin - Downtown - Town Lake', 'La Quinta Inn by Wyndham Austin South / I-35', 'Econo Lodge']","['TownePlace Suites Austin North/Tech Ridge', 'Drury Inn & Suites Austin North', 'Heywood Hotel', 'Hotel Saint Cecilia', 'Staybridge Suites Austin Airport']"
Crates On Skates,1,"['Bronko Box', 'Greater Austin Moving', 'MASH Movers', 'EcoBox']","['Bronko Box', 'Greater Austin Moving', 'EcoBox', '1/2 Price Boxes']"
Wildflower Organics,0,"['Sleep Number', 'Urban Mattress South Austin', 'Mattress Firm Sunset Brodie', 'Rooms To Go']","['Urban Mattress South Austin', 'Mattress Firm Sunset Brodie', 'Factory Mattress - Gateway Square', 'Four Hands Home', 'CORT Furniture Outlet']"
Tianna Nails,0,"['Coated Professionally Polished', 'ProNails', 'Nails by Gina', 'Hot Nails']","['Diamond Nails & Spa', 'Rockstar Nails', 'Glow Nails Beauty Bar + Lounge', 'Balcones Nails', 'Glitter Nails Salon']"
Barley Swine,0,"['Hi Hat Public House', 'Blind Salamander Kitchen & Bar', 'Nosh & Bevvy', 'Marker 10']","['Blind Salamander Kitchen & Bar', 'Happy Chicks', 'Nosh & Bevvy', 'Armadillo Den', 'Metcalf Barbecue -Graceland']"
Walmart Auto Care Centers,0,"['Firestone Complete Auto Care', 'Firestone Complete Auto Care', 'Firestone Complete Auto Care', 'Firestone Complete Auto Care']","['Excalibur Automotive Repair', 'Don Rucker Tire & Auto', 'A-1 Tires', 'Yost Automotive II', ""Hohmann's Automotive""]"
"Snooze, an A.M. Eatery",0,"['Snooze, an A.M. Eatery', 'Merit Coffee', 'Tangent Cafe', 'Figure 8 Coffee Purveyors']","['Word of Mouth Bakery', 'Wholy Bagel', 'Shipley Donuts', 'Cannon Coffee', 'The Happy Grilled Cheese']"
Wells Fargo Bank,0,"['Wells Fargo Bank', 'Chase Bank', 'Woodforest National Bank Branch No 655', 'Wells Fargo Bank']","['Emily Franke - SWBC Mortgage Corporation', 'Ben Archer - State Farm Insurance Agent', 'Carmina Eaton - State Farm Insurance Agent', 'Rō Fitness Tarrytown', 'Greenway Insurance']"
Law Office Of Susan G Taylor,1,"['Texas Guaranteed Student Loan Corporation', 'H&R Block', 'H&R Block', 'H&R Block']","['Around the Clock Bail Bonds', 'Immigration Law Office of Paul Parsons, PC', 'The Law Office of Douglas J. Powell', 'Elevate My Scores']"
Baby Face Day Spa,1,"['Salons By JC', 'Hair Mission', ""Jodie's Coiffures"", 'Raven Row Salon']","['Salons By JC', 'The Salon At Merriltown', 'Roar Salon', 'The Jessica Tate Hair']"
Taco Cabana,0,"[""Cisco's Restaurant Bakery & Bar"", 'Taco Bell', 'Jack in the Box', 'Texican Cafe - Manchaca']","['Tacodeli', 'Las Tocallitas', 'La Tunita 512', 'Velvet Taco 6th & Congress', 'Taco-Miendo']"
Dyezz Surveillance,1,"['Central Security', 'ELK Electric', ""Jackson's Moving and Delivery"", 'AAA Carpet Restretch & Repair']","['Central Security', 'ELK Electric', 'Austin Express Keys', 'AAA Carpet Restretch & Repair']"
"Glen Wainwright, DDS - Austin Dental Care",1,"['Kavin Kelp', 'Lydian Dental on Lamar', 'Gary Cash, DDS', 'Jester Village Dental']","['Kavin Kelp', 'Lydian Dental on Lamar', 'Neal Dental Group', 'Jim Tyree, DDS']"
Damron Salon,1,"['California Cuts Salon', 'La Tonya Jackson At The Hair Palace', 'Sola Salon Studios', 'Wild Orchid Salon - Bee Cave']","['California Cuts Salon', 'Wild Orchid Salon - Bee Cave', 'Skin by Kay Leigh', 'Birds Barbershop']"
H-E-B,0,"['Fiesta Mart', 'Red River Market', ""Panderia Chuy's"", ""David's Food""]","['Speedway Grocery', ""Tami's Baked Goods"", ""David's Food"", 'Wag-A-Bag', 'Bluebonnet Food Mart']"
Monitor Medical,0,"['The Breast Center', 'North Austin Premier Sleep Center', 'Westlake Medical Center', 'Austin Infusion Center']","['Austin Infusion Center', 'Austin-Southwest Medical Village', 'Texas Breast Specialists-Austin', 'Planned Parenthood - Downtown Austin Health Center', 'Professional Laser Hair Removal Center']"
Hote1e1even,1,"['DoubleTree by Hilton Hotel Austin', 'Residence Inn Austin South', 'Heart of Texas Motel', 'Fairfield Inn & Suites by Marriott Austin-University Area']","['Tru by Hilton Austin Airport', 'Residence Inn by Marriott Austin Airport', 'Homewood Suites by Hilton Austin-Arboretum/NW', 'Residence Inn Austin North/Parmer Lane']"
Austin Strings,1,"['Switched On', 'Austin Guitar House', 'Guitar Center', 'Drum Lessons Austin']","['Switched On', 'Austin Guitar House', 'Drum Lessons Austin', 'Collings Guitars']"
Amerisleep - Austin,1,"['Mattress Firm Clearance', 'Mattress Firm Sunset Valley North', 'Mattress Firm Clearance', 'Mattress Firm Grandview Hills']","['Factory Mattress - Southpark Meadows', 'Factory Mattress - Southwest Austin Brodie', 'Mattress Firm Clearance', 'Mattress Firm Grandview Hills']"
The Butterfly Bar,0,"['The Upside', ""Icenhauer's"", 'Casino South Side Lounge', 'Small Victory']","['Colette Austin', 'San Jac Saloon', 'Carousel Lounge', 'Otopia Rooftop', 'Twin Creeks Hall']"
SquareRüt Kava Bar,1,"['Kick Butt Coffee', 'Cannon Coffee', 'Sweetwaters Coffee & Tea Texas Capitol', 'Two Hands Cafe']","['Cannon Coffee', 'Sweetwaters Coffee & Tea Texas Capitol', 'Two Hands Cafe', 'Dear Diary Coffeehouse']"
Sanctuary Yoga Studio,1,"['Yoga Vida', 'Black Swan Yoga', 'Yoga East Austin', ""Gold's Gym Austin Tech Ridge""]","['Black Swan Yoga', 'Yoga Vida', 'Clear Spring Studio', '5 Fitness Training and Yoga']"
The Martin House,1,"['spilled milk social club', 'Happy Hearts Bilingual Learning Center', 'Tic Tac Toe Learning Center', 'Abiding Love Lutheran Child Development Center']","['Ashley’s Playhouse', 'Austin Kids Retreat', 'spilled milk social club', 'Abiding Love Lutheran Child Development Center']"
Churro,1,"['Churro Co', 'Manolis Ice Cream, Pastries, & Cakes', 'Frozen Rolls Creamery ', 'Bananarchy']","['Frozen Rolls Creamery ', ""Nuha's Sinful Desserts"", 'Bananarchy', ""Sweet Caroline's Snow Shack""]"
Starbucks,0,"['Starbucks', 'Starbucks', 'Thunderbird Coffee', 'Caffe Medici']","['Summer Moon Coffee', 'Maha Coffee', 'Starbucks', 'Caffé Medici']"
Homewood Suites by Hilton Austin-South/Airport,0,"['Staybridge Suites Austin North - Parmer Lane', 'Omni Austin Hotel Downtown', 'Village Motor Inn', 'Walnut Forest Motel']","['Home2 Suites by Hilton Austin North/Near the Domain', 'Staybridge Suites Austin North - Parmer Lane', 'Sleep Inn & Suites Austin North - I-35', 'Staybridge Suites Austin South Interstate Hwy 35', 'Residence Inn by Marriott Austin Northwest/The Domain Area']"
Tiff's Treats,1,"['Crumbl Cookies - Austin Southwest', 'Crumbl Cookies - Southpark Meadows', ""Tiff's Treats Cookie Delivery"", ""Tiff's Treats""]","['Crumbl Cookies - Austin Southwest', 'Crumbl Cookies - Southpark Meadows', 'Coco Paloma Desserts', ""Tiny's Milk and Cookies Austin""]"
Nancy Nails,1,"['Moonlight Nails & Spa', 'Nailed It', 'Tianna Nails', 'Coated Professionally Polished']","['Nailed It', 'Moonlight Nails & Spa', 'Diamond Nails & Spa', 'Rockstar Nails']"
Taco-Miendo,1,"['Tacos Doña Rosita', 'Taqueria Chapala', ""Marcelino's"", 'Taco More - Austin']","[""Marcelino's"", 'Tacos Doña Rosita', 'Matamoros Tacos', 'Taco Break']"
Tom's Dive & Swim,1,"['Austin WakeSurf', 'Ballet Arts of Austin', 'Slavin-Nadal School Of Ballet', 'Inspired Movement']","['Austin WakeSurf', 'Ballet Arts of Austin', 'Slavin-Nadal School Of Ballet', 'Inspired Movement']"
Council Oak Perio,1,"['Circle C Dental', 'Oak Canyon Dentistry', 'Tony M Pacheco Jr, DDS', 'Austin 3D Dental']","['Oak Canyon Dentistry', 'Circle C Dental', 'Tony M Pacheco Jr, DDS', 'Austin 3D Dental']"
Lucky 13 Cocktail,1,"['The University of Texas at Austin Texas Union Catering Services', 'Circle C Cafe & Catering', 'Austin Wedding Planners', 'Bittersweet Cakes & Catering']","['Bittersweet Cakes & Catering', 'Austin Wedding Planners', 'Lizze Belle Event Planning', 'Circle C Cafe & Catering']"
Master Pools of Austin,0,"[""Nikki's  Pool"", 'Bluebonnet Pools - A BioGuard Platinum', 'Poolsmart', 'Victory Exteriors LLC']","[""Nikki's  Pool"", 'Poolsmart', 'Blue Bottom Pools - Austin', 'Prime Pool Service', 'American Spa And Pool, A.S.A.P']"
Modern Muse Beauty Collective,1,"['Blood and Glitter Makeup', 'Mise En Place Salon', 'ATX Bridal Beauty', 'Dori Stella - Hair Stylist']","['Blood and Glitter Makeup', 'Dori Stella - Hair Stylist', 'Mise En Place Salon', 'ATX Bridal Beauty']"
Cinemark Southpark Meadows,0,"['Frank Erwin Center', 'Moviehouse & Eatery', 'AMC Barton Creek Square 14', '3TEN Austin City Limits Live']","['Moviehouse & Eatery', 'AFS Cinema', 'Pecan Springs Ranch', 'German Texan Heritage Society', 'Staybridge Suites Austin Airport']"
Onion Creek Nails and Spa,0,"['Happy Nails And Spa', 'Arboretum Nails and Spa', 'Premier Nails Spa', 'All About You']","['VA Nails', 'Nexgen Spa & Nails', 'Artist Nail Salon & Day Spa', 'E D Nails And Spa', 'Living Colors Nails']"
"Leo J. Sonnier, D.D.S.",1,"['Jim Root, DDS', 'Novy C Keith, DDS', 'Samani Fatemeh Ellie DDS', 'Naumann M Lawrence, DDS']","['Bonasso Franklin, DDS', 'Samuelson Scott A, DDS', 'Naumann M Lawrence, DDS', 'Jeanne Taylor, DDS', 'Jim Root, DDS']"
Austin Public Library - Milwood Branch,1,"['Will Hampton Branch, Austin Public Library', 'Ruiz Branch - Austin Public Library', 'Austin Public Library - Yarborough Branch', 'Willie Mae Kirk Branch - Austin Public Library']","['Austin Public Library - Yarborough Branch', 'Carver Branch - Austin Public Library', 'Austin Public Library - Windsor Park', 'Austin Public Library - North Village']"
Gusto Italian Kitchen & Wine Bar,0,"[""Gino's Vino Osteria"", 'SLAB BBQ & Beer', 'Habana Soco Restaurant', 'Winebelly']","['Hote1e1even', 'Chick-fil-A', 'The Lucky Duck', 'Cabo Bob’s Burritos', 'Ellis']"
Brodie Food Mart,1,"['Sunrise Mini Mart', 'Shell Gas Station', 'Chevron Stations', 'H & R Grocery']","['H & R Grocery', ""Woody's Country Market"", 'Exxon Tiger Mart', 'Sunrise Super Stop 9']"
Rogue Running by JackRabbit,1,"['Fleet Feet', 'Outdoor Voices', 'Golf Galaxy', 'Texas Running Company - Austin/Gateway']","['Fleet Feet', 'Outdoor Voices', 'Foot Solutions', 'Apparition Skateboards']"
Saving Face,1,"['LIP Med Spa', 'Austin Med Spa', 'Austin Body Contouring', ""Ageless Men's Health""]","['LIP Med Spa', 'Austin Med Spa', 'Massage Heights', 'Imagine Balance Massage and Skin Care']"
Coated Professionally Polished,0,"['Tianna Nails', 'ProNails', 'Nails by Gina', 'Hot Nails']","['Diamond Nails & Spa', 'Rockstar Nails', 'Glow Nails Beauty Bar + Lounge', 'Balcones Nails', 'Glitter Nails Salon']"
Hospice Austin,1,"['Texas Neuro Rehab Center', 'West Oaks Rehabilitation And Healthcare Center', 'Pavilion at Great Hills', 'Harmony Hypnosis']","['Harmony Hypnosis', 'Texas Family Services', 'Austin Ketamine Clinic', 'Anew Era TMS & Psychiatry - Austin']"
Song La,0,"['Reflectionz BBQ and More', 'Frida’s Cocina', 'SXSE Food', 'True Texas BBQ']","['Frida’s Cocina', 'Reflectionz BBQ and More', 'SXSE Food', 'The Rice Is Right', 'Rosarito']"
Bank of America Financial Center,0,"['Capital One Bank', 'TruWest Credit Union', 'Regions Bank', 'Chase Bank']","['Horizon Bank', 'Hillcrest Bank', 'Wells Fargo Bank', 'Texas Health Credit Union', 'Wells Fargo Bank']"
Bella Bridesmaids,1,"['Cato', 'Therapie Boutique Style On the Go', ""Francesca's Collections"", 'Signature Bridal Salon']","['Therapie Boutique Style On the Go', ""Francesca's Collections"", 'Csilla Somogyi', 'American Eagle Outfitters']"
Topaz Salon,0,"['Jae Undreas Natural Hair Care', 'Iclips Hair & Nails', 'Salons by JC', ""Sue's Place Barber & Beauty""]","['Spa at the Lake', 'Salons by JC', 'Jae Undreas Natural Hair Care', 'Glamour Nails & Spa', 'Happy Nails And Spa']"
T-Mobile,0,"['AT&T Store', 'T-Mobile', 'T-Mobile', 'T-Mobile']","['AT&T Store', 'Cellairis', 'The Austin Cell Phone', 'iFix']"
Rice Bowl Cafe,0,"['Xing Long Chinese Cuisine', 'Cyclo', 'Super China', 'China Dynasty']","['Xing Long Chinese Cuisine', 'China Fu', 'Hanara Sushi & Grill', 'Tatsumi Sushi', 'Otoko']"
Coco Coquette,1,"['Quarter To Ten', 'Serenity Wig and Salon', 'Sally Beauty Supply', 'Marigold-Gateway To India']","['Serenity Wig and Salon', 'Quarter To Ten', 'Marigold-Gateway To India', 'Luxe Apothetique']"
Violet Crown Trail,1,"['Arbor Trails Track', 'Hill of Life', 'River Place Nature Trail', 'Zilker Nature Preserve']","['Hill of Life', 'Zilker Nature Preserve', 'Stephenson Nature Preserve', 'Arbor Trails Track']"
ARC Bee Cave,0,"['Specially for Children', 'Total Men’s Primary Care- Austin', 'Bee Well Pediatrics', ""Children's Medical Group""]","['Bee Well Pediatrics', ""Children's Medical Group"", 'GROW Pediatrics and Adolescent Medicine', 'Austin Allergy Associates', 'Geoffrey Cox, MD']"
