name,smol,best_recs,upcom
UFCU Disch-Falk Field,1,"['The Loop Running Supply', 'Fabletics', 'The Tennis Shop', 'Play It Again Sports - North Austin']","['The Loop Running Supply', 'The Tennis Shop', 'Play It Again Sports - North Austin', ""Movin' Easy Dancewear""]"
"Manish Patel, OD: Today's Vision South Towne",1,"['Jackman Eye', 'Eye Tech', 'Westlake Eyecare', 'Eclectic Eyewear']","['Jackman Eye', 'Eye Tech', 'Westlake Eyecare', 'Eclectic Eyewear']"
Healthy Pet,0,"['Pampered Pets', 'Woof Gang Bakery & Grooming Mueller', 'Krisers', 'Petco']","['Krisers', 'Woof Gang Bakery & Grooming Mueller', 'Posh Paws Grooming', ""Tomlinson's Feed"", ""Glampin' Groom""]"
Dell Children's Medical Center,0,"[""St David's South Austin Medical Center"", 'Hill Country Pediatrics', ""Texas Children's Pediatrics Longhorn Pediatrics"", 'Seton McCarthy Community Health Center']","[""Texas Children's Pediatrics Dawson & Ramirez Pediatrics"", 'Barton Creek Pediatrics', 'Hill Country Pediatrics', 'Balcones Obstetrics and Gynecology', ""Austin Women's Health Center""]"
Elephant Acupuncture,1,"['Deep Root Yoga & Massage', 'Serasana Dripping Springs', 'Five Element Austin', 'Austin Ashiatsu']","['Deep Root Yoga & Massage', 'Serasana Dripping Springs', 'Five Element Austin', 'Austin Ashiatsu']"
Newk's Eatery,0,"['Enchiladas Y Mas', 'Potbelly Sandwich Shop', 'Kitchen on the Bend', 'Potbelly Sandwich Shop']","['Potbelly Sandwich Shop', ""Jason's Deli"", ""Domino's Pizza"", 'Jefes Tacos & Catering', 'Taqueria La Chilanguita']"
Urban Roots Farm,1,"['El Buen Samaritano Episcopal Mission', 'Central Texas Food Bank', 'Upbring', 'Farmhouse Delivery']","['El Buen Samaritano Episcopal Mission', 'Central Texas Food Bank', 'Upbring', 'Farmhouse Delivery']"
Red Stella Hair Salon,0,"['Salon Sovay', 'Gloss Beauty Boutique', 'City Nails', ""Madalynne's Nails and Spa""]","['Gloss Beauty Boutique', 'Janet St. Paul Studio for Hair and Beauty', ""N' Style Salon"", 'Salon X Change near The Domain Atx', 'Mint']"
Berkshire Riverview,0,"['Limestone Canyon Apartments', 'The Ballpark North', 'IMT Southpark', '3500 Westlake Apartments', 'Stonecreek Ranch Apartments']","['Water Marq', '422 at the Lake', 'Congress Square Apartments', 'AMLI Covered Bridge', 'Marquis at Treetops']"
Somaspace,1,"['Green Bird Fitness', 'Black Swan Yoga', ""Gold's Gym Slaughter & South Congress"", ""Gold's Gym Austin Downtown""]","['Green Bird Fitness', 'Black Swan Yoga', 'Pure Pilates Austin', 'CorePower Yoga']"
Advantage Rent A Car,0,"['Hertz Rent A Car', 'Fox Rent A Car', 'Enterprise Rent-A-Car', 'Hertz Rent A Car', 'Avis']","['Alamo Rent A Car', 'Firehouse Hostel', 'Statesman Bat Observation Center', 'East Austin Hotel', 'Sleep Inn & Suites Austin North - I-35']"
Fantastic Sams Hair Salons,0,"['Chez Shiraz', 'Lisa Hines- Sugar Hill Spa', 'Sport Clips Haircuts of Austin - Westlake', ""Kane's Barber Shop""]","['Chez Shiraz', 'Lisa Hines- Sugar Hill Spa', 'Express Cut 9', 'Austin DNA Barbershop', 'Grapevine Salons']"
Orangetheory Fitness,1,"['Orangetheory Fitness - Domain', 'CrossFit Central', 'CrossFit City Limits', 'Austin Simply Fit']","['CrossFit Central', 'Orangetheory Fitness - Domain', 'CrossFit City Limits', 'Orangetheory Fitness Circle C']"
Walgreens,0,"['Walgreens', 'Walgreens', 'Walgreens', 'Walgreens']","['Rda Pro Mart', 'Sunrise Super Stop 9', 'Exxon Tiger Mart', 'North Loop Food Store']"
A Better Move,1,"[""The Haynes Bro's Moving Company"", 'Hill Country Movers', 'U-Pack Moving', 'Tippy Toe Movers']","['Hill Country Movers', ""The Haynes Bro's Moving Company"", 'SpaceMan Moving', 'Advantage Moving']"
Spinal Rehab Sports Medicine,1,"['Austin Chiropractic Associates', 'Austin Sports Therapy', 'Espinoza Chiropractic Concepts', 'Empower Family Chiropractic']","['Espinoza Chiropractic Concepts', 'Empower Family Chiropractic', 'Austin Sports Therapy', 'Austin Chiropractic Associates']"
Hay Elotes,0,"['Pinkberry', 'Hay Elotes', 'Taco Sweets - Ice Cream Tacos', ""Amy's Ice Creams""]","['Pinkberry', 'Taco Sweets - Ice Cream Tacos', 'Paradise Smoothies', 'Taqueria Los Juniors', 'Taqueria Jefes']"
Five Star Marine Service,0,"['Sun & Fun Watercraft Rentals', 'Miss High Life Party Cruises', 'Lake Toys Boat Club', 'Austin Jet Skier']","['Miss High Life Party Cruises', 'Austin Jet Skier', 'West Beach Marina', 'Ace Marine', 'Marshall Ford Marina']"
Shell,1,"['ME Gene Johnson Station & Garage', 'CatRegeneration - Catalytic Converter Regeneration', 'NTB - National Tire & Battery', 'NTB - National Tire & Battery']","['ME Gene Johnson Station & Garage', 'CatRegeneration - Catalytic Converter Regeneration', 'Manchaca Service Center', 'Lawson Tire & Automotive']"
ED Auto Upholstery,1,"['Econo Collision', 'Austin Speed Shop', 'Leather Replacement & Custom Upholstery', ""Nevae's Upholstery Shop""]","['Leather Replacement & Custom Upholstery', 'Audiomaster', 'Leather Menders', 'Big Boys Collision Center']"
Gynics Associates,0,"['Michelle Gooch, MD', 'Jennifer Mushtaler,MD', 'Austin Maternal Fetal Medicine', 'Westlake Gynecology']","['Sasan Askari, MD', 'Austin Maternal Fetal Medicine', 'Bushart Paul, MD', 'Douglas P Mumfrey, MD', 'Michelle Gooch, MD']"
Double Apple Smoke Shop,1,"['Drip City - Barton Springs', 'ATX1 Smoke & Vape', 'Metric Glass & Smoke', 'Wizard Hat Smoke Shop']","['Wizard Hat Smoke Shop', 'Metric Glass & Smoke', 'Happy Clouds Smoke Shop', 'Vapor Logic']"
Zoe & Friends Grooming,0,"['Adorable Grooming By Debbie', 'Daycare Grooming', 'Sir Fur Mobile Pet Grooming', 'Dirty Dog']","['Mod Mutt Salon', 'Dirty Dog', 'Dirty Dog', 'Adorable Grooming By Debbie', 'Kanine Klippers']"
Waterloo Ice House 360 & 2222,0,"['The Tavern', 'Twin Peaks', 'Pluckers Wing Bar - South Lamar', 'The Common Interest']","['Growler USA - Austin', 'Fourth & CO', 'The Bon Aire', 'Armadillo Den', 'Sixth and Waller']"
SugaPlump Pastries,1,"[""Newk's Catering"", 'Apple Spice', 'Tiny Pies', 'Central Market Catering']","[""Newk's Catering"", 'Apple Spice', 'Central Market Catering', ""Kellie's Baking Co""]"
Lady Liberty Flag & Flagpole,1,"['Feather Your Nest', 'Nadeau - Furniture with a Soul', 'SOLID', 'Lighting']","['Nadeau - Furniture with a Soul', 'Mattress Firm Circle C Ranch', 'Mattress Firm Rosedale', 'SOLID']"
Deep Eddy Rug & Carpet Cleaners,1,"['Aus Tex Restoration', 'H A Guerrero Carpet Cleaners', 'Kaskas Rug Gallery', 'Austonian Fine Rugs & Carpet Care']","['Aus Tex Restoration', 'H A Guerrero Carpet Cleaners', 'Kaskas Rug Gallery', 'Austonian Fine Rugs & Carpet Care']"
Pepitos 512,1,"['Four Brothers', 'Liberation Kitchen', 'Four Brothers', 'Super Burrito at the Water Tank']","['Liberation Kitchen', 'Four Brothers', 'Mission Dogs', ""Connor's Creamery""]"
Brown's Bar-B-Que,0,"['Red White & QUE', 'Rib Majesty BBQ', 'Rollin Smoke BBQ', 'The Picnic']","[""King's BBQ and Soul"", 'Jim’s Smokehouse', 'Tacos Y Tortas El Chilango', 'Bummer Burrito', 'Taqueria Jefes']"
Ascension Seton Behavioral Health,0,"['Betsy Stanfield, LPC, MEd, MBA, CSAT', 'Jennifer Wu, LCSW', 'Waterloo Counseling Center', 'Victory Outreach Austin']","['Betsy Stanfield, LPC, MEd, MBA, CSAT', 'Jennifer Wu, LCSW', 'Victory Outreach Austin', 'Action Behavior Centers', 'Fiery Sage Healing']"
Touchstone Imaging - 38th Street,0,"['ARA Diagnostic Imaging - Southwest Medical Village', 'ARA Diagnostic Imaging - Westlake', 'ARA Diagnostic Imaging - Southwood', 'ARA Diagnostic Imaging - William Cannon']","['ARA Diagnostic Imaging - William Cannon', 'Touchstone Imaging Northwest', 'Clearview Ultrasound', 'Any Lab Test Now Austin', 'UT Health Austin']"
Mango King Loncheria,1,"['Michoacana Natural Ice Cream', 'Anti Social Ice Cream Co', 'F & F Fruit Cups', 'Waffle Bot + Freak Shakery']","['Michoacana Natural Ice Cream', 'F & F Fruit Cups', 'Waffle Bot + Freak Shakery', 'Omg Squee']"
Recreational Sports Center,0,"['Brazilian Fight Factory', 'Blue Sky Strongbox Personal Training', 'Planet Fitness', 'Inner Diva Studios']","['Planet Fitness', 'Travis County Strength', 'Inner Diva Studios', 'Brazilian Fight Factory', 'Blue Sky Strongbox Personal Training']"
